total_return,final_value,mdd,sharpe,buys,sells,trades,time_in_market,days_in_market,short_ma,long_ma
818.2879617944501,459143.98089722503,-49.96175006540951,0.7397085542172437,22,22,44,56.66534023079984,1424,1,210
911.8776543270629,505938.82716353144,-49.96175006540951,0.7628680007783984,20,20,40,56.66534023079984,1424,1,211
872.0627956148059,486031.39780740294,-49.961750065409525,0.7534395088441528,22,22,44,56.585754078790295,1422,1,212
872.0627956148059,486031.39780740294,-49.961750065409525,0.7534395088441528,22,22,44,56.585754078790295,1422,1,213
872.0627956148059,486031.39780740294,-49.961750065409525,0.7534395088441528,22,22,44,56.585754078790295,1422,1,214
872.0627956148059,486031.39780740294,-49.961750065409525,0.7534395088441528,22,22,44,56.585754078790295,1422,1,215
872.0627956148059,486031.39780740294,-49.961750065409525,0.7534395088441528,22,22,44,56.585754078790295,1422,1,216
872.0627956148059,486031.39780740294,-49.961750065409525,0.7534395088441528,22,22,44,56.585754078790295,1422,1,217
886.400078340057,493200.0391700285,-49.961750065409525,0.7568937474762797,22,22,44,56.625547154795065,1423,1,218
895.3154340726924,497657.7170363462,-49.961750065409504,0.7590212793940324,22,22,44,56.66534023079984,1424,1,219
910.4153957450775,505207.69787253876,-49.961750065409504,0.7627515694289735,22,22,44,56.625547154795065,1423,1,220
930.6236923920103,515311.8461960052,-49.961750065409504,0.7674142484364954,22,22,44,56.66534023079984,1424,1,221
912.2219211004751,506110.96055023756,-49.961750065409504,0.7632329054333123,23,23,46,56.66534023079984,1424,1,222
906.3875696101436,503193.7848050718,-49.96175006540952,0.7618078921254586,22,22,44,56.74492638280939,1426,1,223
866.6640468936661,483332.0234468331,-49.96175006540951,0.7524074445412907,23,23,46,56.70513330680461,1425,1,224
866.6640468936661,483332.0234468331,-49.96175006540951,0.7524074445412907,23,23,46,56.70513330680461,1425,1,225
890.2970556178138,495148.5278089069,-49.961750065409504,0.7581000112611483,23,23,46,56.74492638280939,1426,1,226
851.9898583366183,475994.92916830914,-49.961750065409504,0.7485997587677775,23,23,46,56.78471945881417,1427,1,227
851.9898583366183,475994.92916830914,-49.961750065409504,0.7485997587677775,23,23,46,56.78471945881417,1427,1,228
833.3636250744992,466681.8125372496,-49.961750065409525,0.74401763531062,23,23,46,56.86430561082372,1429,1,229
838.2461954426418,469123.0977213209,-49.961750065409525,0.7438041937909202,23,23,46,56.94389176283327,1431,1,230
838.2461954426418,469123.0977213209,-49.961750065409525,0.7438041937909202,23,23,46,56.94389176283327,1431,1,231
